data_hora_dispositivo;entradas_4a20 (1);status (1);status (2);timestamp_dispositivo;codigo_produto;rele (1);tipo_sensor;temperatura;pulso (1);pulso (2);timestamp_servidor;dia_sem;sinal;id_dispositivo;umidade;ct_pulso (1);ct_pulso (2);Hidrômetro  (1);Vazão (1);Sonda de nível (1)
2025-03-01 03:10:00;460;0;0;1740809400;25;0;DISABLED;-32768;32157;0;1740809402;Saturday;-84;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 03:13:00;460;0;0;1740809580;25;0;DISABLED;-32768;32157;0;1740809581;Saturday;-86;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 03:16:00;460;0;0;1740809760;25;0;DISABLED;-32768;32157;0;1740809761;Saturday;-80;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 03:19:00;460;0;0;1740809940;25;0;DISABLED;-32768;32157;0;1740809941;Saturday;-83;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 03:22:00;460;0;0;1740810120;25;0;DISABLED;-32768;32157;0;1740810121;Saturday;-86;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 03:25:00;460;0;0;1740810300;25;0;DISABLED;-32768;32157;0;1740810301;Saturday;-90;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 03:28:00;460;0;0;1740810480;25;0;DISABLED;-32768;32157;0;1740810481;Saturday;-85;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 03:31:00;460;0;0;1740810660;25;0;DISABLED;-32768;32157;0;1740810661;Saturday;-89;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 03:34:00;460;0;0;1740810840;25;0;DISABLED;-32768;32157;0;1740810841;Saturday;-89;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 03:37:00;460;0;0;1740811020;25;0;DISABLED;-32768;32157;0;1740811021;Saturday;-85;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 03:40:00;460;0;0;1740811200;25;0;DISABLED;-32768;32157;0;1740811202;Saturday;-85;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 03:43:00;460;0;0;1740811380;25;0;DISABLED;-32768;32157;0;1740811381;Saturday;-86;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 03:46:00;460;0;0;1740811560;25;0;DISABLED;-32768;32157;0;1740811561;Saturday;-82;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 03:49:00;460;0;0;1740811740;25;0;DISABLED;-32768;32157;0;1740811741;Saturday;-82;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 03:52:00;460;0;0;1740811920;25;0;DISABLED;-32768;32157;0;1740811921;Saturday;-89;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 03:55:00;460;0;0;1740812100;25;0;DISABLED;-32768;32157;0;1740812101;Saturday;-87;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 03:58:00;460;0;0;1740812280;25;0;DISABLED;-32768;32157;0;1740812281;Saturday;-82;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 04:01:00;460;0;0;1740812460;25;0;DISABLED;-32768;32157;0;1740812461;Saturday;-86;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 04:04:00;460;0;0;1740812640;25;0;DISABLED;-32768;32157;0;1740812641;Saturday;-85;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 04:07:00;460;0;0;1740812820;25;0;DISABLED;-32768;32157;0;1740812821;Saturday;-82;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 04:10:00;460;0;0;1740813000;25;0;DISABLED;-32768;32157;0;1740813001;Saturday;-87;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 04:13:00;460;0;0;1740813180;25;0;DISABLED;-32768;32157;0;1740813181;Saturday;-84;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 04:16:00;460;0;0;1740813360;25;0;DISABLED;-32768;32157;0;1740813361;Saturday;-81;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 04:19:00;460;0;0;1740813540;25;0;DISABLED;-32768;32157;0;1740813541;Saturday;-84;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 04:22:00;460;0;0;1740813720;25;0;DISABLED;-32768;32157;0;1740813722;Saturday;-83;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 04:25:00;460;0;0;1740813900;25;0;DISABLED;-32768;32157;0;1740813901;Saturday;-81;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 04:28:00;460;0;0;1740814080;25;0;DISABLED;-32768;32157;0;1740814081;Saturday;-81;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 04:31:00;460;0;0;1740814260;25;0;DISABLED;-32768;32157;0;1740814261;Saturday;-86;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 04:34:00;460;0;0;1740814440;25;0;DISABLED;-32768;32157;0;1740814441;Saturday;-82;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 04:37:00;460;0;0;1740814620;25;0;DISABLED;-32768;32157;0;1740814621;Saturday;-82;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 04:40:00;460;0;0;1740814800;25;0;DISABLED;-32768;32157;0;1740814801;Saturday;-83;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 04:43:00;460;0;0;1740814980;25;0;DISABLED;-32768;32157;0;1740814981;Saturday;-82;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 04:46:00;460;0;0;1740815160;25;0;DISABLED;-32768;32157;0;1740815161;Saturday;-82;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 04:49:00;460;0;0;1740815340;25;0;DISABLED;-32768;32157;0;1740815341;Saturday;-81;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 04:52:00;460;0;0;1740815520;25;0;DISABLED;-32768;32157;0;1740815521;Saturday;-85;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 04:55:00;460;0;0;1740815700;25;0;DISABLED;-32768;32157;0;1740815701;Saturday;-80;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 04:58:00;460;0;0;1740815880;25;0;DISABLED;-32768;32157;0;1740815881;Saturday;-82;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 05:01:00;460;0;0;1740816060;25;0;DISABLED;-32768;32157;0;1740816061;Saturday;-79;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 05:04:00;460;0;0;1740816240;25;0;DISABLED;-32768;32157;0;1740816241;Saturday;-84;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 05:07:00;460;0;0;1740816420;25;0;DISABLED;-32768;32157;0;1740816421;Saturday;-83;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 05:10:00;460;0;0;1740816600;25;0;DISABLED;-32768;32157;0;1740816601;Saturday;-82;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 05:13:00;460;0;0;1740816780;25;0;DISABLED;-32768;32157;0;1740816781;Saturday;-82;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 05:16:00;460;0;0;1740816960;25;0;DISABLED;-32768;32157;0;1740816961;Saturday;-82;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 05:19:00;460;0;0;1740817140;25;0;DISABLED;-32768;32157;0;1740817141;Saturday;-88;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 05:22:00;460;0;0;1740817320;25;0;DISABLED;-32768;32157;0;1740817321;Saturday;-88;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 05:25:00;460;0;0;1740817500;25;0;DISABLED;-32768;32157;0;1740817501;Saturday;-83;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 05:28:00;460;0;0;1740817680;25;0;DISABLED;-32768;32157;0;1740817681;Saturday;-85;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 05:31:00;460;0;0;1740817860;25;0;DISABLED;-32768;32157;0;1740817861;Saturday;-86;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 05:34:00;460;0;0;1740818040;25;0;DISABLED;-32768;32157;0;1740818041;Saturday;-80;2756562;-32768;0;0;5867.9;0;11.25
2025-03-01 05:37:00;460;0;0;1740818220;25;0;DISABLED;-32768;32157;0;1740818221;Saturday;-82;2756562;-32768;0;0;5867.9;0;11.25
